state,beds_2010,beds_2014
Alabama,3.2,3.1
Alaska ,2.2,2.2
Arizona ,2,2
Arkansas ,3.2,3.1
California ,1.9,1.8
Colorado ,2,2
Connecticut,2.3,2.2
Delaware ,2.4,2.2
District of Columbia ,5.7,5.4
Florida ,2.9,2.7
Georgia ,2.6,2.4
Hawaii ,2.4,2
Idaho,2.2,2
Illinois ,2.6,2.5
Indiana,2.8,2.6
Iowa ,3.3,3.1
Kansas ,3.5,3.5
Kentucky ,3.3,3.2
Louisiana ,3.4,3.2
Maine ,2.7,2.5
Maryland ,2,2
Massachusetts ,2.4,2.4
Michigan ,2.6,2.5
Minnesota,2.9,2.7
Mississippi ,4.4,4.2
Missouri ,3.1,3.1
Montana,3.8,3.6
Nebraska ,4,3.5
Nevada ,2,2
New Hampshire ,2.2,2.1
New Jersey ,2.4,2.3
New Mexico ,2,1.8
New York ,3,2.8
North Carolina ,2.4,2.2
North Dakota ,5.1,4.3
Ohio ,3,2.9
Oklahoma ,3,2.9
Oregon ,1.7,1.7
Pennsylvania ,3.2,3
Rhode Island ,2.3,2.1
South Carolina ,2.7,2.5
South Dakota,5,4.8
Tennessee ,3.3,3.1
Texas ,2.4,2.3
Utah ,1.8,1.8
Vermont ,2.1,1.9
Virginia ,2.2,2.2
Washington,1.7,1.7
West Virginia ,4,3.7
Wisconsin,2.4,2.2
Wyoming ,3.6,3.1
